property_type,mukim,scheme_name_area,tenure,land_parcel_area,unit_level,transaction_price,year
Condominium/Apartment,Kuala Lumpur Town Centre,1A STONOR APT (CONLAY COURT),Leasehold,613.5428928,0,469000,2023
Condominium/Apartment,Kuala Lumpur Town Centre,1A STONOR APT (CONLAY COURT),Freehold,2120.4903488,1,1260000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,1A STONOR APT (CONLAY COURT),Leasehold,1119.4466816,10,650000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,1A STONOR APT (CONLAY COURT),Leasehold,1119.4466816,6,580000,2025
Condominium/Apartment,Kuala Lumpur Town Centre,2 HAMPSHIRE,Freehold,3336.8122240000002,23,2000000,2022
Condominium/Apartment,Kuala Lumpur Town Centre,2 HAMPSHIRE,Freehold,2357.2963776,23,1650000,2022
Condominium/Apartment,Kuala Lumpur Town Centre,2 HAMPSHIRE,Freehold,2368.060288,10,1590000,2023
Condominium/Apartment,Kuala Lumpur Town Centre,2 HAMPSHIRE,Freehold,4499.314547200001,0,2500000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,2 HAMPSHIRE,Freehold,2368.060288,7,1580000,2025
Condominium/Apartment,Kuala Lumpur Town Centre,2 HAMPSHIRE,Freehold,1399.308352,8,1000000,2025
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,1593.0587392,15,820000,2021
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,1862.1564992,13,1180000,2022
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,3756.6047296,31,2100000,2023
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,3756.6047296,30,1900000,2023
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,3756.6047296,29,2000000,2023
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,3756.6047296,26,2000000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,1420.8361728,22,1000000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,3756.6047296,26,2000000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,1862.1564992,8,1300000,2025
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,3756.6047296,24,2450000,2025
Condominium/Apartment,Kuala Lumpur Town Centre,6 CAPSQUARE,Freehold,1862.1564992,19,1300000,2025
Condominium/Apartment,Kuala Lumpur Town Centre,9 MADGE,Freehold,4520.8423680000005,0,5046000,2022
Condominium/Apartment,Kuala Lumpur Town Centre,9 MADGE,Freehold,3552.090432,4,3500000,2023
Condominium/Apartment,Kuala Lumpur Town Centre,9 MADGE,Freehold,3046.1866432,4,3600000,2024
Condominium/Apartment,Kuala Lumpur Town Centre,9 MADGE,Freehold,3552.090432,3,3755000,2024
