Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,JALAN CHERAS,JALAN KELIAN,January 2024,Freehold,293.378,sq.m,138.46,sq.m,    ,1600000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,JALAN CHERAS,JALAN KELIAN,August 2024,Freehold,294.399,sq.m,102.1,sq.m,    ,1200000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,JALAN CHERAS,JLN KELIAN,September 2021,Freehold,293.378,sq.m,139.82,sq.m,    ,1500000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,KAW KASIPILLAY,JALAN PIPIT,October 2022,Freehold,441.852,sq.m,169.18,sq.m,    ,1550000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,MILLION GARDEN,JALAN PIPIT,June 2024,Freehold,565.277,sq.m,144.93,sq.m,    ,2100000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,OFF JALAN KELANG LAMA,JLN TASEK,April 2023,Freehold,558.954,sq.m,172.79,sq.m,    ,1600000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,TAMAN MIHARJA,JALAN LOGAM,November 2021,Freehold,293.1,sq.m,141,sq.m,    ,1500000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Kuala Lumpur Town Centre,TITIWANGSA,JLN TITIWANGSA,September 2024,Freehold,2112,sq.m,343.74,sq.m,    ,5300000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JALAN JAMBU ARANG,August 2024,Leasehold,234.5,sq.m,141.58,sq.m,    ,608000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JALAN JAMBU BERASA 2,July 2024,Leasehold,235,sq.m,176.25,sq.m,    ,450000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JALAN JAMBU BERASA 3,July 2024,Leasehold,309,sq.m,167.22,sq.m,    ,550000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JALAN JAMBU GAJUS 2,October 2023,Leasehold,334,sq.m,123.56,sq.m,    ,700000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JALAN JAMBU GAJUS 2,October 2023,Leasehold,337,sq.m,123.56,sq.m,    ,700000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JALAN JAMBU MERAH,May 2024,Leasehold,325,sq.m,163.78,sq.m,    ,720000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG SELATAN,JAMBU BERASA,July 2025,Leasehold,222,sq.m,121.61,sq.m,    ,530000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN BENTENG UTARA,July 2023,Leasehold,289.5,sq.m,126.72,sq.m,    ,650000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG DAMAI 1,January 2022,Leasehold,243,sq.m,178.33,sq.m,    ,580000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG INDAH 11 (JLN SEKOLAH),December 2023,Leasehold,253,sq.m,96.62,sq.m,    ,528000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG MURNI,June 2023,Leasehold,246,sq.m,101.08,sq.m,    ,438000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG MURNI,June 2023,Leasehold,246,sq.m,154.22,sq.m,    ,550000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG MURNI 6,August 2024,Leasehold,257,sq.m,143.81,sq.m,    ,590000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG MURNI 13,April 2025,Leasehold,252,sq.m,119,sq.m,    ,530000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG PERMAI 8,March 2024,Leasehold,242,sq.m,123.75,sq.m,    ,500000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG UTAMA,December 2021,Leasehold,258,sq.m,132.38,sq.m,    ,600000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JALAN JINJANG UTAMA,November 2022,Leasehold,260,sq.m,132.38,sq.m,    ,640000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,JLN JINJANG INDAH 4 (EAST STREET 5),June 2023,Leasehold,251,sq.m,248.7,sq.m,    ,600000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,KB JINJANG UTARA,TANJUNG MALIM STREET,July 2024,Leasehold,255,sq.m,105.91,sq.m,    ,600000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,TMN KAYA,JALAN CUMARASAMY,January 2025,Freehold,591.833,sq.m,145.67,sq.m,    ,1250000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Kuala Lumpur,LUCKY GARDEN  (JLN BANGSAR),JALAN TEMPINIS,July 2025,Freehold,424,sq.m,133.4,sq.m,    ,2400000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Kuala Lumpur,LUCKY GARDEN  (JLN BANGSAR),JALAN TEMPINIS 1,November 2024,Freehold,372,sq.m,122.44,sq.m,    ,1900000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Kuala Lumpur,LUCKY GARDEN (JLN BANGSAR),JLN TEMPINIS KANAN,March 2023,Freehold,372,sq.m,147.71,sq.m,    ,2800000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Kuala Lumpur,SALAK SOUTH LOW COST HOUSING,JLN 18/108,November 2021,Leasehold,204.38,sq.m,98.47,sq.m,    ,320000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Petaling,HAPPY GARDEN,JALAN JIRAN 8,December 2021,Freehold,355,sq.m,120.03,sq.m,    ,1300000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,HOTSPRING GARDEN,JALAN AIR KUNING,October 2023,Leasehold,215.5,sq.m,85.76,sq.m,    ,470000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,HOTSPRING GARDEN,LRG AIR PUTEH,March 2023,Leasehold,214.486,sq.m,79.95,sq.m,    ,460000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,KB AIR PANAS,LORONG AYER PUTEH,February 2023,Leasehold,238.77,sq.m,65.36,sq.m,    ,470000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,TMN SETAPAK (SETAPAK GARDEN),JALAN TIOMAN 4,August 2022,Freehold,287.711,sq.m,116.13,sq.m,    ,900000
