year,mukim,income_median_weighted
2021,Kuala Lumpur Town Centre,10310.350007410701
2021,Mukim Ampang,10128.651210884354
2021,Mukim Batu,10852.14496019228
2021,Mukim Cheras,9324.87594726461
2021,Mukim Kuala Lumpur,11221.583852415339
2021,Mukim Petaling,10423.65357921872
2021,Mukim Setapak,9519.48052434457
2021,Mukim Ulu Kelang,9351.666666666666
2022,Kuala Lumpur Town Centre,10302.979398251075
2022,Mukim Ampang,10231.924081632653
2022,Mukim Batu,10518.458089229382
2022,Mukim Cheras,9098.617564621612
2022,Mukim Kuala Lumpur,10990.92508681991
2022,Mukim Petaling,10391.980368828079
2022,Mukim Setapak,9434.403370786516
2022,Mukim Ulu Kelang,9202.0
2023,Kuala Lumpur Town Centre,10479.465762561138
2023,Mukim Ampang,10402.474040816327
2023,Mukim Batu,11131.878210905812
2023,Mukim Cheras,9409.477577078793
2023,Mukim Kuala Lumpur,11404.069648861696
2023,Mukim Petaling,10369.285841760859
2023,Mukim Setapak,9948.789325842698
2023,Mukim Ulu Kelang,10191.0
2024,Kuala Lumpur Town Centre,10655.952126871201
2024,Mukim Ampang,10573.024000000001
2024,Mukim Batu,11745.298332582242
2024,Mukim Cheras,9720.337589535971
2024,Mukim Kuala Lumpur,11817.214210903478
2024,Mukim Petaling,10346.591314693636
2024,Mukim Setapak,10463.175280898875
2024,Mukim Ulu Kelang,11180.0
2025,Kuala Lumpur Town Centre,10655.952126871201
2025,Mukim Ampang,10573.023999999998
2025,Mukim Batu,11745.298332582244
2025,Mukim Cheras,9720.33758953597
2025,Mukim Kuala Lumpur,11817.214210903478
2025,Mukim Petaling,10346.591314693636
2025,Mukim Setapak,10463.175280898875
2025,Mukim Ulu Kelang,11180.0
