property_type,mukim,scheme_name_area,tenure,land_parcel_area,unit_level,transaction_price,year,income_median_area,area_median_price
Condominium/Apartment,Mukim Kuala Lumpur,MIDFIELDS SG.BESI KONDOMINIUM,Leasehold,1074.1306188160002,7,420000,2021,11221.58385241534,465000.0
Flat,Mukim Batu,TMN SRI MURNI MEDIUM COST FLAT,Leasehold,764.2376384,4,190000,2023,11131.878210905812,185000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,4200.0,36,2300000,2022,10302.979398251076,565000.0
Condominium/Apartment,Mukim Batu,RESIDENSI SELINGSING,Freehold,861.112832,19,470000,2022,10518.458089229382,475000.0
Condominium/Apartment,Mukim Setapak,GENTING COURT,Leasehold,832.05027392,12,250000,2021,9519.48052434457,214000.0
Low-Cost Flat,Mukim Batu,Others,Leasehold,527.4316096,4,110000,2023,11131.878210905812,580000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,2755.5610624,4,2880000,2025,10655.9521268712,565000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1270.1414272,26,380000,2025,10655.9521268712,570000.0
Condominium/Apartment,Mukim Batu,THE WESTSIDE ONE (DESA PARKCITY),Freehold,1819.1008576,27,1520000,2025,11745.298332582244,1250000.0
Flat,Mukim Kuala Lumpur,Others,Leasehold,968.751936,4,193000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Batu,MON'T KIARA AMAN,Freehold,2195.8377216,18,1310000,2024,11745.298332582242,1350000.0
Condominium/Apartment,Mukim Petaling,BUKIT OUG,Freehold,1464.96820544,1,450000,2021,10423.65357921872,340000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,799.9738209279999,2,225000,2024,10346.591314693636,375000.0
Condominium/Apartment,Mukim Petaling,THE Z RESIDENCE,Freehold,1237.849696,12,590000,2024,10346.591314693636,650000.0
Condominium/Apartment,Mukim Ampang,Others,Freehold,1184.030144,4,410000,2024,10573.024,380000.0
Condominium/Apartment,Mukim Setapak,SENTUL UTAMA KONDOMINIUM,Leasehold,882.6406528,13,370000,2021,9519.48052434457,350000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1323.9609792,25,470000,2023,9948.789325842698,400000.0
Condominium/Apartment,Mukim Kuala Lumpur,VISTA ANGKASA APARTMENT,Leasehold,441.3203264,16,220000,2023,11404.069648861696,350000.0
Condominium/Apartment,Mukim Kuala Lumpur,RESIDENSI VYNE SUNGAI BESI,Leasehold,1087.1549504,24,811000,2021,11221.58385241534,790000.0
Flat,Mukim Batu,Others,Leasehold,925.6962944,2,250000,2023,11131.878210905812,580000.0
Condominium/Apartment,Mukim Petaling,DESA SRI PUTERI,Leasehold,957.9880256,18,350000,2022,10391.98036882808,231000.0
Low-Cost Flat,Mukim Kuala Lumpur,DESA PANTAI FLAT,Leasehold,613.5428928,10,250000,2022,10990.92508681991,210000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1216.3218752,16,600000,2023,10479.465762561138,565000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1851.3925888,18,1270000,2025,11745.298332582244,580000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,807.29328,11,270000,2023,10369.28584176086,375000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1496.1835456,13,1000000,2025,11745.298332582244,580000.0
Condominium/Apartment,Mukim Batu,RESIDENSI DUTA KIARA,Freehold,1345.4888,33,1220000,2024,11745.298332582242,1620000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,936.4602048,10,407000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Kuala Lumpur,ABADI INDAH APARTMENT,Leasehold,828.8211008000001,9,280000,2021,11221.58385241534,310000.0
Condominium/Apartment,Mukim Setapak,SENTUL POINT SUITE APARTMENTS,Freehold,742.7098176000001,39,385000,2022,9434.403370786516,384000.0
Flat,Mukim Kuala Lumpur,Others,Leasehold,613.5428928,9,200000,2022,10990.92508681991,455000.0
Condominium/Apartment,Mukim Setapak,PLATINIUM LAKE CONDO PV 16,Leasehold,1323.9609792,11,500000,2024,10463.175280898877,496500.0
Low-Cost Flat,Mukim Petaling,Others,Leasehold,957.9880256,2,300000,2024,10346.591314693636,375000.0
Condominium/Apartment,Mukim Setapak,SRI PELANGI CONDO,Freehold,925.6962944,7,268000,2025,10463.175280898877,320000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,3907.2994752,8,3907000,2022,10302.979398251076,565000.0
Condominium/Apartment,Mukim Petaling,BUKIT OUG,Freehold,1221.7038304,7,400000,2022,10391.98036882808,340000.0
Condominium/Apartment,Mukim Petaling,VISTA KOMANWEL,Freehold,1227.0857856,10,415000,2022,10391.98036882808,457500.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1151.7384128,7,1100000,2022,10990.92508681991,455000.0
Condominium/Apartment,Mukim Batu,RESIDENSI 22 MONT KIARA,Freehold,2023.6151552,9,2000000,2023,11131.878210905812,2230000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1668.406112,17,990000,2022,10518.458089229382,580000.0
Condominium/Apartment,Mukim Batu,28 MONT KIARA,Freehold,4200.0,39,4300000,2021,10852.14496019228,2018000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,947.2241152,3,389000,2021,11221.58385241534,455000.0
Condominium/Apartment,Mukim Batu,MIZUMI RESIDENCES,Leasehold,936.4602048,41,548000,2021,10852.14496019228,499500.0
Condominium/Apartment,Mukim Petaling,THE RAINZ BUKIT JALIL,Freehold,1474.6557248,12,870000,2022,10391.98036882808,970000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1205.5579648,12,1000000,2025,11745.298332582244,580000.0
Flat,Mukim Petaling,TMN DESA TASEK,Leasehold,904.1684736,12,300000,2022,10391.98036882808,241000.0
Condominium/Apartment,Kuala Lumpur Town Centre,PALM COURT,Leasehold,947.2241152,7,420000,2025,10655.9521268712,400000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,462.8481472,3,260000,2022,10302.979398251076,570000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1173.2662336,3,500000,2021,9519.48052434457,400000.0
Condominium/Apartment,Mukim Petaling,PR1MA ALAM DAMAI,Leasehold,990.2797568,24,333000,2021,10423.65357921872,347000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,734.959802112,4,190000,2022,10518.458089229382,580000.0
Condominium/Apartment,Mukim Setapak,Others,Leasehold,1205.5579648,2,420000,2022,9434.403370786516,400000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,3595.1460736,8,4100000,2025,10655.9521268712,565000.0
Condominium/Apartment,Mukim Batu,TRINITY PENTAMONT MONT KIARA,Freehold,2034.3790656,10,2050000,2025,11745.298332582244,1643500.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1097.9188608,8,350000,2024,10346.591314693636,375000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1679.1700224,7,650000,2023,11131.878210905812,580000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,1140.9745024,8,520000,2023,11131.878210905812,580000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1819.1008576,1,1060000,2022,10302.979398251076,565000.0
Low-Cost Flat,Mukim Setapak,BANDAR BARU WANGSA MAJU SEK 1,Leasehold,530.6607827199999,2,210000,2024,10463.175280898877,220000.0
Low-Cost Flat,Mukim Setapak,SENTUL MURNI,Leasehold,678.1263552,8,210000,2025,10463.175280898877,190000.0
Condominium/Apartment,Mukim Batu,28 MONT KIARA,Freehold,645.8346240000001,21,610000,2021,10852.14496019228,2030000.0
